,978-7-5194-1289-0,,
柠檬 ,978-7-5596-0649-5, 2018-09: (4) 2018-08: (1) 2018-07: (2) 2018-05: (2) 2018-04: (2) 2018-03: (6) ,"北京国际图书城:(1),西单图书大厦:(1),翠微大厦书店:(1)"
大地产商之惊蛰 ,978-7-5596-0422-4, 2018-07: (2) 2018-05: (1) 2018-04: (1) ,"北京国际图书城:(3),王府井书店:(2),西单图书大厦:(2),光明楼书店:(2),西四书店:(2),北京医药书店:(1)"
大地产商之观澜 ,978-7-5596-0027-1, 2018-09: (1) 2018-06: (2) 2018-05: (3) 2018-04: (2) 2018-03: (4) ,"西单图书大厦:(1),亚运村图书大厦:(1),翠微大厦书店:(1),光明楼书店:(2),西四书店:(1)"
彼得.潘 ,978-7-5110-3902-6, 2018-09: (1) 2018-07: (1) 2018-05: (2) ,"北京国际图书城:(3),花市书店:(2),西四书店:(3),团结湖书店:(2),和平里书店:(1)"
尼尔斯骑鹅旅行记 ,978-7-5110-3898-2, 2018-09: (2) 2018-08: (3) 2018-07: (1) 2018-06: (4) 2018-04: (3) ,"西单图书大厦:(3),北京国际图书城:(2),和平里书店:(2),团结湖书店:(2),北大地书店:(2),光明楼书店:(1),西四书店:(1),香河园书店:(1)"
吹牛大王历险记 ,978-7-5110-3901-9, 2018-07: (2) 2018-05: (1) 2018-03: (1) ,"北京国际图书城:(30),管庄书店:(2),团结湖书店:(2),西四书店:(1)"
福尔摩斯探案集 ,978-7-5110-3899-9, 2018-10: (1) 2018-09: (3) 2018-08: (15) 2018-07: (13) 2018-06: (7) 2018-05: (9) 2018-04: (8) ,"北京国际图书城:(6),西单图书大厦:(3),翠微大厦书店:(2),团结湖书店:(3),香河园书店:(2),西四书店:(1),双锦园书店:(1)"
又到西风扑髦时-纳兰性德传 ,978-7-5594-1002-3, 2018-09: (2) 2018-08: (7) 2018-07: (6) 2018-06: (1) 2018-05: (6) 2018-04: (3) 2018-03: (1) ,"王府井书店:(2),中关村图书大厦:(2),西单图书大厦:(1),光明楼书店:(2),降价书店:(2),和平里书店:(1),西四书店:(1),管庄书店:(1),香河园书店:(1)"
林徽因-人间四月不及你 ,978-7-5594-1004-7, 2018-09: (1) 2018-08: (2) 2018-07: (4) 2018-05: (4) 2018-04: (5) 2018-03: (3) ,"西单图书大厦:(4),王府井书店:(3),亚运村图书大厦:(2),北京国际图书城:(1),翠微大厦书店:(1),西四书店:(2),香河园书店:(2),光明楼书店:(1),和平里书店:(1),管庄书店:(1)"
浮生六记 ,978-7-5596-1083-6, 2018-09: (3) 2018-08: (6) 2018-07: (8) 2018-06: (6) 2018-05: (2) 2018-04: (5) 2018-03: (2) ,"王府井书店:(2),西单图书大厦:(1),翠微大厦书店:(1),光明楼书店:(2),西四书店:(2),管庄书店:(2),和平里书店:(1)"
你好像一只刺猬.可我好想抱抱你 ,978-7-5594-1327-7, 2018-10: (1) 2018-09: (1) 2018-08: (4) 2018-07: (5) 2018-06: (3) 2018-05: (7) 2018-04: (12) ,"西单图书大厦:(1),亚运村图书大厦:(1),和平里书店:(2),西四书店:(2),团结湖书店:(2),香河园书店:(1)"
